date,TSCO.LON,BARC.LON,ULVR.LON
2022-03-03,281.4,168.94,3563.5
2022-03-02,282.65,176.96,3646.5
2022-03-01,283.95,173.22,3685.0
2022-02-28,289.75,182.88,3746.5
2022-02-25,286.55,188.9,3739.0
2022-02-24,279.65,179.4,3634.0
2022-02-23,290.85,195.98,3844.0
2022-02-22,287.6,190.16,3793.0
2022-02-21,287.6,191.44,3850.0
2022-02-18,294.2,191.16,3857.5
2022-02-17,293.7,192.64,3799.5
2022-02-16,294.75,196.0,3818.0
2022-02-15,299.2,198.46,3835.0
2022-02-14,295.4,195.56,3810.0
2022-02-11,298.15,206.1,3914.5
2022-02-10,297.0,208.65,3779.0
2022-02-09,293.7,208.0,3828.5
2022-02-08,291.65,206.2,3876.5
2022-02-07,291.4,205.0,3858.5
2022-02-04,295.55,200.6,3815.0
2022-02-03,297.05,204.45,3803.5
2022-02-02,302.0,203.05,3782.5
2022-02-01,300.0,201.1,3749.0
2022-01-31,297.0,197.22,3787.5
2022-01-28,303.4,196.88,3786.5
2022-01-27,300.0,203.55,3847.5
2022-01-26,295.8,202.2,3831.0
2022-01-25,291.45,196.7,3936.0
2022-01-24,288.2,190.36,3943.5
2022-01-21,288.75,199.24,3675.0
2022-01-20,287.3,205.55,3655.5
2022-01-19,287.85,206.95,3675.5
2022-01-18,289.55,209.8,3516.5
2022-01-17,289.45,214.8,3662.0
2022-01-14,285.0,215.5,3936.5
2022-01-13,289.7,217.1,3903.0
2022-01-12,292.25,211.8,3902.0
2022-01-11,292.3,207.0,3942.0
2022-01-10,292.45,207.9,3966.5
2022-01-07,289.05,205.25,3934.5
2022-01-06,292.3,200.45,3917.5
2022-01-05,296.7,197.92,3959.0
2022-01-04,293.95,196.66,3996.0
